voxel,x,y,z,voxel_idx,n_nonmissing,p_zero,n_outlier_removed,mad,var_I,error,mean_I,converged
7311917,109,131,128,696,20,0.0,3,0.46389621,0.06275047463974616,0.05360766218550149,0.4566892395190147,1.0
7311918,110,131,128,697,20,0.0,0,0.45410806,0.16768104536571124,0.13156460304856182,0.005969945292273474,1.0
7311919,111,131,128,698,20,0.0,0,0.83562744,0.14216212119893668,0.26902499919756084,-0.21614707263373015,1.0
7311920,112,131,128,699,20,0.0,0,0.86461496,0.22034759557761072,0.3353730492488842,-0.37566436827182276,1.0
7311922,114,131,128,701,20,0.0,1,0.5986516,0.39598947230716447,0.028138170388971723,-0.4056120658578485,1.0
7311923,115,131,128,702,20,0.0,0,1.0503765,0.46119953965810395,0.08144136611788663,-0.22351479650176026,1.0
7311924,116,131,128,703,20,0.0,0,1.0007672,0.41878416433174537,0.20285634601271513,-0.004200252488935758,1.0
7311925,117,131,128,704,20,0.0,0,0.8040721,0.4453245416210838,0.3304558364010537,0.09738852448679189,1.0
7312139,107,132,128,705,20,0.0,3,0.42149785,0.09317171230549212,0.029463483958456934,0.7420666605498875,1.0
7312140,108,132,128,706,20,0.0,3,0.3676045,0.06471445362697084,0.022926753185183786,0.6212255610944825,1.0
7312141,109,132,128,707,20,0.0,2,0.41790295,0.0966383921009533,0.04208206501028969,0.412854775666667,1.0
7312143,111,132,128,709,20,0.0,0,0.79502267,0.05896544236631137,0.37494188241020193,-0.16781898588424057,1.0
7312144,112,132,128,710,20,0.0,0,0.83948714,0.0675484894605474,0.4821638291746341,-0.305103838197995,1.0
7312145,113,132,128,711,20,0.0,1,0.55518776,0.30268732842312246,0.09115046578623912,-0.3778469222155581,1.0
7312146,114,132,128,712,20,0.0,1,0.61010844,0.4577361886666263,0.006161110624744177,-0.4435979964974418,1.0
7312147,115,132,128,713,20,0.0,1,1.1483691,0.44742365623444724,0.06294668485036657,-0.22773409645199397,1.0
7312148,116,132,128,714,20,0.0,0,0.91484475,0.5749957361058133,0.1790314717249113,-0.07203650293752979,1.0
7312149,117,132,128,715,20,0.0,2,0.7431188,0.16826838186702747,0.3906188620409413,0.286260992253919,1.0
7312363,107,133,128,716,20,0.0,3,0.5086995,0.11683366752823106,0.02976263355539603,0.6956570756096659,1.0
7312364,108,133,128,717,20,0.0,2,0.44281223,0.14817782085886017,0.04259972341038264,0.47828815877670117,1.0
